거래코드,거래처코드,발행구분,거래구분,사업자번호,상호,성명,사업장주소,업태,종목,발행일자,거래내용,공급가액,세액,합계금액,결제유형,작성자,수정일자,최근사용자,transaction_contents,currency
2EC221C560126640B84447A08B5D5610,4CE57F311210874A99BB601557E03399,,,122-81-25877,오상자이엘㈜,"이극래, 김선기",인천광역시 부평구 육동로 36(부평동),"제조,서비스외",컴퓨터주변기기외,2024-02-29 0:00,Draftsight  DraftSight Enterprise,5400000,540000,5940000,현금,ksllkd,2024-02-29 0:00,ksllkd,,KRW
3266897A43CA564DB703CE1C689DBE30,BF536034C0DF58419A21FBC8C89DC211,,,312-86-37234,주식회사 영광와이케이엠씨,장관섭,충청남도 아산시 둔포면 아산밸리중앙로 161아산시 음봉면 연암율금로 77-34,제조업 외,금속제품표면처리 외,2024-02-27 0:00,ZWCAD,1200000,120000,1320000,현금,ksllkd,2024-02-29 0:00,ksllkd,,KRW
72D9F1292C880C4E84BCF69A979670C9,54A391DDE4045043A5DDCE4A40FE1B40,,,179-88-01958,주식회사 에프엘씨,우중범,"충청남도 천안시 서북구 직산읍 직산로 136, 충남테크노파크벤처관1202호","제조업,서비스업","반도체관련 부품, 장비 외",2024-02-29 0:00,SOLIDWORKS Professional외,41400000,4140000,45540000,현금,ksllkd,2024-02-29 0:00,ksllkd,,KRW
7E096ED4FEFF044894A185EFF0C4BC8F,BD8BF3C36FF47248841038BADCBBFCF9,,,659-61-00633,로지드,곽태광,"경기도 안양시 동안구 시민대로327번길 11-41, 9층 23-1호(관양동,안양창업지원센터",제조업 외,특수 목적용 기계 제조업 외,2024-02-28 0:00,3DEXPERIENCE SOLIDWORKS Professional Offer (YSC),4500000,450000,4950000,현금,ksllkd,2024-02-29 0:00,ksllkd,,KRW
8A614D73A965B9428EC8C17C55D02097,461D6E5F5DB24746987153C2FD552BB6,,,123-81-39826,㈜빅텍,임만규,경기도 이천시 마장면 덕이로 180-31,제조 외,"유,무선 통신 및 응용장치 외",2024-02-29 0:00,Draftsight Enterprise 유지보수,1050000,105000,1155000,현금,ksllkd,2024-02-29 0:00,ksllkd,,KRW
B3657D10185F804CA3F647F92F67AA98,A32D87328245B045B35CDCC13AEEFBE7,,,220-81-96244,㈜엔투비,이유경,"서울특별시 강남구 봉은사로 514 (삼성동,포스코타워-삼성) 11층",도소,MRO기업소모성자재,2024-02-27 0:00,포스코홀딩스_Solidworks professional 구매 件,6400000,640000,7040000,현금,ksllkd,2024-02-29 0:00,ksllkd,,KRW
B5F0A464023C7948A00B67625801438C,7303BB51A5D28F49A2E831A5AC6DC9C0,,,244-87-00483,대원테크,한용운,대전광역시 대덕구 대화로 32번길 132,제조업,산업기계제작,2024-02-29 0:00,대원테크 혁신바우처 잔금,6500000,650000,7150000,현금,ksllkd,2024-02-29 0:00,ksllkd,,KRW
E67D574C9D36294DA1A0C5FAAC15326E,09E225C8E47E9148967841C72BEFDC96,,,301-81-40239,㈜테크윈,정붕익,충북 청주시 흥덕구 직지대로 474번길 60(송정동),제조외,"설비제작,설치외",2024-02-29 0:00,SOLIDWORKS 유지보수,23800000,2380000,26180000,현금,ksllkd,2024-02-29 0:00,ksllkd,,KRW
F77D1A9E2039C74AAA08FF49BD5AF3C7,58BCDD5744D15146B4947AC523AFF4CB,,,613-81-22906,수시스템 주식회사,"오수관, 박선숙",경상남도 진주시 사봉면 산업단지로 110,"제조, 도매 및 소매업 외",산업용기계개발및제작 외,2024-02-29 0:00,DS ENT,2000000,200000,2200000,현금,ksllkd,2024-02-29 0:00,ksllkd,,KRW
8BB6B1D54A5C3A4989E39A469517999F,A543CCCB9BF174438A048797B86F8E79,발행,,184-86-01086,㈜유니퓨전,최천식,"대전광역시 유성구 대덕대로 530, 2층 라열 207호, 208호 209호(도룡동, 대덕첨",제조업,"기타 측정,시험,항해,제어 및 정밀 기기,제조",2024-02-21 0:00,SOLIDWORKS Premium 유지보수,4800000,480000,5280000,현금,ksllkd,2024-02-28 0:00,minwooko,,KRW
