거래코드,월일,품목,규격,단위,수량,단가,공급가액,세액,합계금액,비고,순번,거래처코드,거래처명,전표번호,구분,날짜
34FF127FD856E94A8E70C87C6C365034,2.22,의정부성모병원(촬영실배정기),,,0,0,210000,21000,231000,,1,205D0F0C5242CF4590CBE1005F6E67D4,(학)가톨릭학원의정부성모병원,,매출,2024-02-22 0:00
AE835864E92B3741B496308755BD8DA5,2.22,CD영상등록기 유지보수,,,0,0,400000,40000,440000,,1,0ECA04F72A975B499368BB189CD4FD9D,동은정보기술주식회사,,매출,2024-02-22 0:00
F92B839EACCC4848989815D51679A308,2.22,CD영상등록기 유지보수,,,0,0,180000,18000,198000,,1,C39B9F3F1849B840BABE2F5136156AD7,학교법인 을지학원 대전을지대학교병원,,매출,2024-02-22 0:00
5711246B8A8C6C44BAB0B0CD8B7CF0F9,2.22,SOLIDWORKS Professional Network Subscription Service 6month,,,5,1900000,9500000,950000,10450000,,1,C8DD9971CB156C46BF5A7E8C6B67A51A,㈜아모텍,,매출,2024-02-22 0:00
5711246B8A8C6C44BAB0B0CD8B7CF0F9,2.22,SOLIDWORKS Premium Network Subscription Service 6month,,,1,2500000,2500000,250000,2750000,,2,C8DD9971CB156C46BF5A7E8C6B67A51A,㈜아모텍,,매출,2024-02-22 0:00
3B449122144B7641B83A603635055C24,2.21,rebless 소모품,,,1,204545,204545,20455,225000,,1,07A2EB560B88124C93C844BFF046CC38,(학)일송학원 한강성심병원,,매출,2024-02-22 0:00
0CB8A8099047C34994AEEBFD30F0CDB2,2.22,SOLIDWORKS Professional Network Subscription Service 6month,,,5,1900000,9500000,950000,10450000,,1,57F604022A1D23479E7B906A2639E9BD,㈜아모그린텍,,매출,2024-02-22 0:00
0CB8A8099047C34994AEEBFD30F0CDB2,2.22,SOLIDWORKS Premium Network Subscription Service 6month,,,2,2500000,5000000,500000,5500000,,2,57F604022A1D23479E7B906A2639E9BD,㈜아모그린텍,,매출,2024-02-22 0:00
0CB8A8099047C34994AEEBFD30F0CDB2,2.22,SOLIDWORKS Professional Stand alone Subscription 6month Service,,,3,1500000,4500000,450000,4950000,,3,57F604022A1D23479E7B906A2639E9BD,㈜아모그린텍,,매출,2024-02-22 0:00
D50F49B78FEC4348BAC557F84893FE4C,2.22,CD영상등록기 유지보수,,,0,0,1720000,172000,1892000,,1,3AAE84575E60EF4B96211AB7CC36E02A,서울아산병원,,매출,2024-02-22 0:00
BD3C4C9B428D2F428E0BC6D02E19E659,2.22,SOLIDWORKS Standard Network Subscription 6month,,,1,1700000,1700000,170000,1870000,,1,16E5FB1616105F4AA7A1B67460636E19,주식회사 아모센스,,매출,2024-02-22 0:00
EEEFB9491633114597709341CE4EE2C3,2.22,CD영상등록기,,,0,0,727273,72727,800000,,1,EE37CA3A0569B44B85C3D99954C8F38E,플래니트,,매출,2024-02-22 0:00
